Number of words,2415830
Number of unique words,84141
Average word frequency,28.711686
Entropy,7.469870

Word,Frequency,Proportion,Entropy Term
messaged,118,0.000049,0.000485
actually,1163,0.000481,0.003677
t,68,0.000028,0.000295
hoped,183,0.000076,0.000719
timely,291,0.000120,0.001087
manner,165,0.000068,0.000655
met,2315,0.000958,0.006660
face,181,0.000075,0.000712
text,855,0.000354,0.002812
enquired,5,0.000002,0.000027
necessities,291,0.000120,0.001087
drinks,402,0.000166,0.001448
allows,101,0.000042,0.000422
enjoy,2056,0.000851,0.006016
circus,6,0.000002,0.000032
respite,67,0.000028,0.000291
north,228,0.000094,0.000875
end,935,0.000387,0.003041
west,1312,0.000543,0.004083
brothers,34,0.000014,0.000157
sites,214,0.000089,0.000827
vintage,269,0.000111,0.001014
alley,121,0.000050,0.000496
wasnt,1742,0.000721,0.005217
far,1949,0.000807,0.005746
whilst,138,0.000057,0.000558
responsive,3818,0.001580,0.010194
teenage,51,0.000021,0.000227
daughter,801,0.000332,0.002656
stayed,6114,0.002531,0.015132
room,18796,0.007780,0.037783
line,409,0.000169,0.001470
studios,879,0.000364,0.002881
drawback,77,0.000032,0.000330
releasing,1,0.000000,0.000006
minor,363,0.000150,0.001323
compared,109,0.000045,0.000451
benefits,24,0.000010,0.000114
hesitate,508,0.000210,0.001780
appartement,312,0.000129,0.001156
bien,835,0.000346,0.002755
situé,209,0.000087,0.000809
à,1289,0.000534,0.004021
pieds,18,0.000007,0.000088
du,266,0.000110,0.001004
theater,203,0.000084,0.000789
sur,241,0.000100,0.000919
boulevardbien,1,0.000000,0.000006
agencé,7,0.000003,0.000037
avec,426,0.000176,0.001524
une,466,0.000193,0.001650
cuisine,84,0.000035,0.000357
équipée,41,0.000017,0.000186
salon,38,0.000016,0.000174
grande,110,0.000046,0.000455
chambre,240,0.000099,0.000916
et,2245,0.000929,0.006487
salle,128,0.000053,0.000522
bains,24,0.000010,0.000114
pratique,60,0.000025,0.000263
produits,10,0.000004,0.000051
servietteles,1,0.000000,0.000006
hotes,5,0.000002,0.000027
étaient,38,0.000016,0.000174
très,1393,0.000577,0.004301
accessibles,4,0.000002,0.000022
notre,338,0.000140,0.001242
disposition,72,0.000030,0.000311
si,263,0.000109,0.000993
besoinlappartement,1,0.000000,0.000006
était,229,0.000095,0.000878
propre,250,0.000103,0.000950
quelques,66,0.000027,0.000287
bienvenue,7,0.000003,0.000037
bières,2,0.000001,0.000012
chocolat,4,0.000002,0.000022
appréciables,2,0.000001,0.000012
husband,1487,0.000616,0.004551
fault,207,0.000086,0.000802
included,583,0.000241,0.002010
toddler,110,0.000046,0.000455
ample,397,0.000164,0.001432
travel,990,0.000410,0.003196
cot,29,0.000012,0.000136
dinner,913,0.000378,0.002978
washer,447,0.000185,0.001590
dryer,680,0.000281,0.002301
facility,111,0.000046,0.000459
stairs,273,0.000113,0.001027
huge,1585,0.000656,0.004809
help,2256,0.000934,0.006515
chocolates,143,0.000059,0.000576
